Setup,Lap,Lap Time,Diff Lock KPI [%],Brake Bias [%],ABS Active,Alias Tire Pressure FL [psi],Alias Tire Pressure FR [psi],Alias Tire Pressure RL [psi],Alias Tire Pressure RR [psi],Roll Gradient Front.A,Roll Gradient Rear.A,Slip Braking FR [%],Slip Breaking FL [%]

Setup 1,Lap 1,121.184,1656447.27,70.82,0.0102,25.0503,24.9446,25.6711,25.6171,-0.4675,-0.5060,5.30,5.59
Setup 1,Lap 2,120.985,1693338.71,70.80,0.0089,25.0812,24.9322,25.8929,25.6103,-0.4725,-0.5028,5.34,5.32
Setup 1,Lap 3,120.903,1692654.33,70.69,0.0126,24.9885,24.8059,25.7158,25.6556,-0.4770,-0.4989,5.60,4.84
Setup 1,Lap 4,120.199,1656532.89,70.76,0.0118,25.2551,25.1438,25.7731,25.7828,-0.4762,-0.4990,5.43,5.22
Setup 1,Lap 5,120.488,1717536.59,70.79,0.0088,25.3429,25.1684,25.9584,25.7185,-0.4721,-0.5022,5.43,5.13
Setup 2,Lap 1,120.698,1683034.02,70.63,0.0066,25.0444,25.1102,25.7916,25.7671,-0.4555,-0.5110,5.02,4.77
Setup 2,Lap 2,119.873,1585621.02,70.71,0.0117,25.4301,25.3297,25.8756,25.7823,-0.4567,-0.5081,5.03,5.14
Setup 2,Lap 3,119.937,1661382.60,70.78,0.0113,25.5509,25.4714,25.9945,25.9187,-0.4564,-0.5054,5.08,5.10
Setup 2,Lap 4,120.109,1694125.10,70.71,0.0093,25.5901,25.4760,26.0064,25.9137,-0.4552,-0.5049,4.93,5.01
Setup 2,Lap 5,120.223,1737954.95,70.74,0.0085,25.5089,25.4549,26.0310,25.9160,-0.4547,-0.5055,5.80,4.87
Setup 2,Lap 6,119.768,1782659.05,70.78,0.0117,25.6341,25.5899,26.3425,26.1334,-0.4553,-0.5062,5.46,4.89
Setup 2,Lap 7,119.068,1691974.00,70.83,0.0116,25.5287,25.6090,26.1182,26.0245,-0.4550,-0.5070,5.49,5.25
Setup 2,Lap 8,119.976,1647908.40,70.66,0.0078,25.6950,25.5590,26.2727,26.0647,-0.4538,-0.5077,5.27,4.86
Setup 3,Lap 1,119.913,1668543.92,70.76,0.0075,25.1820,25.3133,26.0935,26.4297,-0.4981,-0.4965,5.24,4.98
Setup 3,Lap 2,119.429,1665943.28,70.87,0.0087,25.4267,25.3133,26.4326,26.3255,-0.4974,-0.4964,5.41,4.93
Setup 3,Lap 3,119.442,1698899.30,70.72,0.0102,25.2441,25.0423,26.1880,26.0184,-0.5013,-0.4964,5.25,4.85
Setup 3,Lap 4,119.807,1672194.29,70.75,0.0110,25.2828,25.3315,26.1098,26.1770,-0.5038,-0.4978,5.53,4.79
Setup 3,Lap 5,120.594,1681177.09,70.75,0.0075,25.1993,25.2168,26.3431,26.2614,-0.5024,-0.4961,4.91,4.64
Setup 3,Lap 6,119.596,1722088.89,70.91,0.0125,25.2805,25.1394,26.2342,26.1449,-0.5025,-0.4944,5.82,5.37
Setup 4,Lap 1,121.073,1611553.66,61.63,0.0013,25.2655,25.3293,25.8089,25.7632,-0.4752,-0.4985,3.73,3.74
Setup 4,Lap 2,120.278,1692678.56,61.76,0.0003,25.2376,25.3563,25.9411,25.7818,-0.4766,-0.4967,4.02,3.71
Setup 4,Lap 3,120.917,1656984.65,61.62,0.0007,25.2801,25.4160,26.0066,25.8057,-0.4751,-0.4966,3.89,3.44
Setup 4,Lap 4,120.279,1651966.59,61.76,0.0008,25.3811,25.4409,26.1524,25.9293,-0.4743,-0.4954,3.69,3.30
Setup 4,Lap 5,120.365,1717426.51,61.72,0.0010,25.3437,25.4339,26.2004,25.8730,-0.4765,-0.4945,4.61,3.64
Setup 4,Lap 6,121.579,1816052.77,61.68,0.0023,25.5050,25.5697,26.5669,26.3926,-0.4758,-0.4936,4.60,3.39
Setup 4,Lap 7,120.866,1753678.58,61.59,0.0026,25.6098,25.4031,27.3232,26.6761,-0.4730,-0.4947,3.84,2.72
Setup 4,Lap 8,119.963,1695422.90,61.86,0.0030,25.5965,25.4715,26.3626,26.1233,-0.4740,-0.4966,4.61,3.63
